Report date: 2026-03-09 12:57:09
numer 125.000000 / denom 3.000000
IOSADIAGNOSESTREAM = { 
    { 0x2, 11, 64, 256, },
    { 
        { 0x1, 0, 0x0000005d7d07, 0x0001, 0066, 262, 0x00000000, 0x0000000000000000, 0x0, 0x0, 0x0, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0, },
        { 0x1, 0, 0x00000acc824c, 0x0141, 0181, 8421, 0x00000001, 0x0000000000000000, 0x0, 0x0, 0x0, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0, },
        { 0x1, 0, 0x00000acc8286, 0x017e, 0113, 8421, 0x00dd0100, 0x0000000000000000, 0x0, 0x0, 0x0, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0, },
        { 0x1, 0, 0x00000acc8286, 0x011d, 0563, 8421, 0x00001001, 0x0000000000000000, 0x0, 0x0, 0x0, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0, },
        { 0x1, 0, 0x00000acc829c, 0x014a, 0249, 8421, 0x00000010, 0x0000000000000000, 0x0, 0x0, 0x0, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0, },
        { 0x1, 0, 0x00000acc829c, 0x0127, 0941, 8421, 0x00000001, 0x0000000000000000, 0x0, 0x0, 0x0, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0, },
        { 0x1, 0, 0x00000acc82a1, 0x0224, 0160, 8421, 0x00000011, 0x0000000000000000, 0x0, 0x0, 0x0, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0, },
        { 0x1, 0, 0x00000acc82b0, 0x014c, 6514, 8421, 0x00000001, 0x0000000000000000, 0x0, 0x0, 0x0, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0, },
        { 0x1, 0, 0x00000acc82b0, 0x0142, 0226, 8421, 0x1000000010000, 0xfba3ec8bfdddb20f, 0x0, 0xc1f39e10bf83691d, 0xe276f6ab132ba157, 0x5f6ecfe276c83291, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 1, },
        { 0x1, 0, 0x00000acc82b0, 0x0135, 5406, 8421, 0x00000110, 0xfba3ec8bfdddb20f, 0x0, 0xc1f39e10bf83691d, 0xe276f6ab132ba157, 0x5f6ecfe276c83291, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 1, },
        { 0x1, 0, 0x00000acc82b0, 0x010b, 7065, 8421, 0xffffffe0181666a0, 0x0000000000000000, 0x0, 0x0, 0x0, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0, },
