2024-08-27 15:37:17 status half-installed tar:amd64 1.35+dfsg-3build1
2024-08-27 15:37:17 status unpacked tar:amd64 1.35+dfsg-3build1
2024-08-27 15:37:17 install util-linux:amd64 <none> 2.39.3-9ubuntu6
2024-08-27 15:37:17 status half-installed util-linux:amd64 2.39.3-9ubuntu6
2024-08-27 15:37:17 status unpacked util-linux:amd64 2.39.3-9ubuntu6
2024-08-27 15:37:17 install zlib1g:amd64 <none> 1:1.3.dfsg-3.1ubuntu2
2024-08-27 15:37:17 status half-installed zlib1g:amd64 1:1.3.dfsg-3.1ubuntu2
2024-08-27 15:37:17 status unpacked zlib1g:amd64 1:1.3.dfsg-3.1ubuntu2
2024-08-27 15:37:17 startup packages configure
2024-08-27 15:37:17 configure gcc-14-base:amd64 14-20240412-0ubuntu1 <none>
2024-08-27 15:37:17 status unpacked gcc-14-base:amd64 14-20240412-0ubuntu1
2024-08-27 15:37:17 status half-configured gcc-14-base:amd64 14-20240412-0ubuntu1
2024-08-27 15:37:17 status installed gcc-14-base:amd64 14-20240412-0ubuntu1
2024-08-27 15:37:17 configure libaudit-common:all 1:3.1.2-2.1build1 <none>
2024-08-27 15:37:17 status unpacked libaudit-common:all 1:3.1.2-2.1build1
2024-08-27 15:37:17 status half-configured libaudit-common:all 1:3.1.2-2.1build1
2024-08-27 15:37:17 status installed libaudit-common:all 1:3.1.2-2.1build1
2024-08-27 15:37:17 configure libsemanage-common:all 3.5-1build5 <none>
2024-08-27 15:37:17 status unpacked libsemanage-common:all 3.5-1build5
2024-08-27 15:37:17 status half-configured libsemanage-common:all 3.5-1build5
2024-08-27 15:37:17 status installed libsemanage-common:all 3.5-1build5
2024-08-27 15:37:17 configure debconf:all 1.5.86ubuntu1 <none>
2024-08-27 15:37:17 status unpacked debconf:all 1.5.86ubuntu1
2024-08-27 15:37:17 status half-configured debconf:all 1.5.86ubuntu1
2024-08-27 15:37:17 status installed debconf:all 1.5.86ubuntu1
2024-08-27 15:37:17 configure ncurses-base:all 6.4+20240113-1ubuntu2 <none>
2024-08-27 15:37:17 status unpacked ncurses-base:all 6.4+20240113-1ubuntu2
2024-08-27 15:37:17 status half-configured ncurses-base:all 6.4+20240113-1ubuntu2
2024-08-27 15:37:17 status installed ncurses-base:all 6.4+20240113-1ubuntu2
2024-08-27 15:37:17 configure init-system-helpers:all 1.66ubuntu1 <none>
2024-08-27 15:37:17 status unpacked init-system-helpers:all 1.66ubuntu1
2024-08-27 15:37:17 status half-configured init-system-helpers:all 1.66ubuntu1
2024-08-27 15:37:17 status installed init-system-helpers:all 1.66ubuntu1
2024-08-27 15:37:17 configure sensible-utils:all 0.0.22 <none>
2024-08-27 15:37:17 status unpacked sensible-utils:all 0.0.22
2024-08-27 15:37:17 status half-configured sensible-utils:all 0.0.22
2024-08-27 15:37:17 status installed sensible-utils:all 0.0.22
2024-08-27 15:37:17 configure libgcc-s1:amd64 14-20240412-0ubuntu1 <none>
2024-08-27 15:37:17 status unpacked libgcc-s1:amd64 14-20240412-0ubuntu1
2024-08-27 15:37:17 status half-configured libgcc-s1:amd64 14-20240412-0ubuntu1
2024-08-27 15:37:17 status installed libgcc-s1:amd64 14-20240412-0ubuntu1
2024-08-27 15:37:17 configure libc6:amd64 2.39-0ubuntu8 <none>
2024-08-27 15:37:17 status unpacked libc6:amd64 2.39-0ubuntu8
2024-08-27 15:37:17 status half-configured libc6:amd64 2.39-0ubuntu8
2024-08-27 15:37:18 status installed libc6:amd64 2.39-0ubuntu8
2024-08-27 15:37:18 configure libmd0:amd64 1.1.0-2build1 <none>
2024-08-27 15:37:18 status unpacked libmd0:amd64 1.1.0-2build1
2024-08-27 15:37:18 status half-configured libmd0:amd64 1.1.0-2build1
2024-08-27 15:37:18 status installed libmd0:amd64 1.1.0-2build1
2024-08-27 15:37:18 configure libattr1:amd64 1:2.5.2-1build1 <none>
2024-08-27 15:37:18 status unpacked libattr1:amd64 1:2.5.2-1build1
2024-08-27 15:37:18 status half-configured libattr1:amd64 1:2.5.2-1build1
2024-08-27 15:37:18 status installed libattr1:amd64 1:2.5.2-1build1
2024-08-27 15:37:18 configure sysvinit-utils:amd64 3.08-6ubuntu3 <none>
2024-08-27 15:37:18 status unpacked sysvinit-utils:amd64 3.08-6ubuntu3
2024-08-27 15:37:18 status half-configured sysvinit-utils:amd64 3.08-6ubuntu3
2024-08-27 15:37:18 status installed sysvinit-utils:amd64 3.08-6ubuntu3
2024-08-27 15:37:18 configure libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4 <none>
2024-08-27 15:37:18 status unpacked libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2024-08-27 15:37:18 status half-configured libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2024-08-27 15:37:18 status installed libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2024-08-27 15:37:18 configure debianutils:amd64 5.17build1 <none>
2024-08-27 15:37:18 status unpacked debianutils:amd64 5.17build1
2024-08-27 15:37:18 status half-configured debianutils:amd64 5.17build1
2024-08-27 15:37:18 status installed debianutils:amd64 5.17build1
2024-08-27 15:37:18 configure mawk:amd64 1.3.4.20240123-1build1 <none>
2024-08-27 15:37:18 status unpacked mawk:amd64 1.3.4.20240123-1build1
